markdownPath,id,category,sourceNumber,sourceDocument,imageFile,image,imageRatio,title
content/cases/baoyan/001.md,baoyan-001,baoyan,001,保研案例(1).docx,,,,普通 985 工科背景，冲刺强势工科院校
content/cases/baoyan/002.md,baoyan-002,baoyan,002,保研案例(1).docx,,,,电子信息背景，科研与建模经历助力保研
content/cases/baoyan/003.md,baoyan-003,baoyan,003,保研案例(1).docx,,,,数学类高排名背景，冲刺顶尖统计与数学方向
content/cases/baoyan/004.md,baoyan-004,baoyan,004,保研案例(1).docx,,,,头部高校高排名背景，冲刺顶尖工科院系
content/cases/baoyan/005.md,baoyan-005,baoyan,005,保研案例(1).docx,,,,电子信息高排名背景，冲刺集成电路强势平台
content/cases/baoyan/006.md,baoyan-006,baoyan,006,保研案例(1).docx,,,,冶金工程背景，科研论文与竞赛成果助力冲刺顶尖院校
content/cases/baoyan/007.md,baoyan-007,baoyan,007,保研案例(1).docx,,,,电子信息背景，SCI 与电路设计经历支持保研冲刺
content/cases/baoyan/008.md,baoyan-008,baoyan,008,保研案例(1).docx,,,,机械类背景，专利、论文与竞赛综合支撑强校申请
content/cases/baoyan/009.md,baoyan-009,baoyan,009,保研案例(1).docx,,,,材料方向科研成果突出，聚焦强势工科平台
content/cases/baoyan/010.md,baoyan-010,baoyan,010,保研案例(1).docx,,,,电子信息背景，电路仿真与设计项目助力研究所方向
content/cases/study-abroad/source-1-unsw-ai-phd.md,study-abroad-source-1,study-abroad,1,博士录取及国外博士录取案例(3).docx,1.png,/images/case/1.png,portrait,工作三年后，获得新南威尔士大学人工智能博士录取
content/cases/phd-application/002.md,phd-application-002,phd-application,2,博士录取及国外博士录取案例(3).docx,2.png,/images/case/2.png,landscape,艺术设计与书法背景，提前接触目标博导
content/cases/phd-application/003.md,phd-application-003,phd-application,3,博士录取及国外博士录取案例(3).docx,3.png,/images/case/3.png,landscape,计算机硕士背景，补齐独立科研成果短板
content/cases/phd-application/004.md,phd-application-004,phd-application,4,博士录取及国外博士录取案例(3).docx,4.png,/images/case/4.png,landscape,生命科学背景转向生物信息学方向
content/cases/phd-application/005.md,phd-application-005,phd-application,5,博士录取及国外博士录取案例(3).docx,5.png,/images/case/5.png,landscape,地理信息背景，转向遥感技术研究
content/cases/phd-application/006.md,phd-application-006,phd-application,6,博士录取及国外博士录取案例(3).docx,6.png,/images/case/6.png,landscape,材料科学背景，聚焦新能源材料申博
content/cases/phd-application/007.md,phd-application-007,phd-application,7,博士录取及国外博士录取案例(3).docx,7.png,/images/case/7.png,landscape,地质学背景，转向环境地球化学方向
content/cases/phd-application/008.md,phd-application-008,phd-application,8,博士录取及国外博士录取案例(3).docx,8.png,/images/case/8.png,landscape,交通运输背景，定制研究计划匹配目标导师
content/cases/study-abroad/01.md,study-abroad-01,study-abroad,01,博士录取及国外博士录取案例(3).docx,01.png,/images/case/01.png,portrait,在职背景，获得世纪大学管理学博士录取
content/cases/study-abroad/02.md,study-abroad-02,study-abroad,02,博士录取及国外博士录取案例(3).docx,02.png,/images/case/02.png,portrait,海外口腔医学背景，获得马来亚大学博士录取
content/cases/study-abroad/03.md,study-abroad-03,study-abroad,03,博士录取及国外博士录取案例(3).docx,03.png,/images/case/03.png,portrait,国内 985 背景，3 天获得马来亚大学统计硕士录取
content/cases/career-coaching/001.md,career-coaching-001,career-coaching,001,就业案例(1).docx,001.png,/images/case/001.png,portrait,国泰君安投行部全职 Offer
content/cases/career-coaching/002.md,career-coaching-002,career-coaching,002,就业案例(1).docx,002.png,/images/case/002.png,portrait,花旗理财顾问全职 Offer
content/cases/career-coaching/003.md,career-coaching-003,career-coaching,003,就业案例(1).docx,003.png,/images/case/003.png,portrait,汇丰银行行业研究全职 Offer
content/cases/career-coaching/004.md,career-coaching-004,career-coaching,004,就业案例(1).docx,004.png,/images/case/004.png,portrait,L.E.K. 咨询分析师全职 Offer
content/cases/career-coaching/005.md,career-coaching-005,career-coaching,005,就业案例(1).docx,005.png,/images/case/005.png,portrait,埃森哲咨询分析师全职 Offer
content/cases/career-coaching/006.md,career-coaching-006,career-coaching,006,就业案例(1).docx,006.png,/images/case/006.png,portrait,贝恩咨询全职 Offer
content/cases/career-coaching/007.md,career-coaching-007,career-coaching,007,就业案例(1).docx,007.png,/images/case/007.png,portrait,德勤审计全职 Offer
content/cases/career-coaching/008.md,career-coaching-008,career-coaching,008,就业案例(1).docx,008.png,/images/case/008.png,portrait,中国农业银行总行管培生全职 Offer
content/cases/career-coaching/009.md,career-coaching-009,career-coaching,009,就业案例(1).docx,009.png,/images/case/009.png,portrait,毕马威审计全职 Offer
content/cases/career-coaching/0010.md,career-coaching-0010,career-coaching,0010,就业案例(1).docx,0010.png,/images/case/0010.png,portrait,宝洁品牌管理岗全职 Offer
content/cases/career-coaching/0011.md,career-coaching-0011,career-coaching,0011,就业案例(1).docx,0011.png,/images/case/0011.png,portrait,滴滴数据分析全职 Offer
content/cases/career-coaching/0012.md,career-coaching-0012,career-coaching,0012,就业案例(1).docx,0012.png,/images/case/0012.png,portrait,中海地产土木工程全职 Offer
content/cases/career-coaching/0013.md,career-coaching-0013,career-coaching,0013,就业案例(1).docx,0013.png,/images/case/0013.png,portrait,阿斯利康管培生全职 Offer
content/cases/career-coaching/0014.md,career-coaching-0014,career-coaching,0014,就业案例(1).docx,0014.png,/images/case/0014.png,portrait,蒂森克虏伯菁才培训生全职 Offer
content/cases/career-coaching/0015.md,career-coaching-0015,career-coaching,0015,就业案例(1).docx,0015.png,/images/case/0015.png,portrait,通用电气全职 Offer
